id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
395,حسین ,zagros,تجربه بسیارعالی بود چون اولین پروازم بود پروازهای دیگه تجربه نکرده بودم,5,,2019-01-18 04:23:48.607222,2019-01-18 04:23:48.607222,385105,1,t
396,رضا,sepehran,افتضاح بود،چهارساعت تاخیرداشت،هواپیماقدیمی وکثیف ومهماندارهارفتارخوبی نداشتند,,,2019-01-18 15:21:49.260162,2019-01-18 15:21:49.260162,443741,1,t
397,"",safarestan,"",,,2019-01-18 15:54:37.16734,2019-01-18 15:54:37.16734,443780,2,t
398,حسن وثوق,iran-air-tour,"",,,2019-01-19 12:42:02.677225,2019-01-19 12:42:02.677225,444945,1,t
399,حسن وثوق,iran-air-tour,"",,,2019-01-19 12:42:32.368574,2019-01-19 12:42:32.368574,444945,1,t
400,حسن وثوق,iran-air-tour,سلام هواپیمای خوبی نیست پذیرای قشنگی نمیکنند هواپیما اوراق میباشد چقدر باید ما صرر بدین تابفکر ایران وایرانی باشند خدا بداد این ادمهای که جان این مردم برای انها اهمیت ندارد,,,2019-01-19 12:48:57.338904,2019-01-19 12:48:57.338904,444945,1,t
401,امیر ,sepehran,"",3,,2019-01-20 15:32:57.808092,2019-01-20 15:32:57.808092,447576,1,t
402,امین ,zagros,"با عرض سلام 
خدمت کل ایرانیهای عزیز وبه خصوص کسانی که اینگونه نظر میدن که دلیل نگرانی دیگر هموطن و تخریب شرکت هواپیمایی زاگرس میشن 
من ۵ تا بلیط خریدم که دوتا نوزاد هم همراهمان بود 
از اصفهان به کیش 
از 
شرکت هواپیمایی زاگرس 
سپاسگزارم بابت 

۱- پرواز بدون تاخیر 
۲- بهترین خلبان 
۳- بهترین و خوش برخورد ترین مهماندار 
۴- پذیرایی معقول نسبت به تایم سفر 
۵- تحویل بار سلامت و سریع 

از طرف ۵ نفر مسافر 
و دو کودک زیر ۲ سال 

ممنون و سپاس فراوان 
از شرکت هواپیمایی زاگرس 

به امید سفرهای مجدد 
با زاگرس 
",,,2019-01-20 16:08:24.094067,2019-01-20 16:08:24.094067,433211,1,t
403,امین ,zagros,"",5,,2019-01-20 16:09:34.8438,2019-01-20 16:09:34.8438,433211,1,t
404,"",flytoday,"",5,,2019-01-20 19:06:46.702814,2019-01-20 19:06:46.702814,447824,2,t
405,"",safarestan,"",,,2019-01-21 17:55:14.834828,2019-01-21 17:55:14.834828,449139,2,t
406,میثم گودرزی,sepehran,"سلام صفر نداشت وگرنه صفر میدادم
برای اولین بار با این هواپیمایی خواستم برم بندرعباس از تهران ساعت ۸ صبح پروازمون بود تا ساعت ۱۵ همون روز تو فرودگاه موندیم و خبری نشد آخرش هم با هزارتا التماس بلیت ها رو کنسل کردم و تا الان که دارم نظرم رو مینویسم خبری از واریز پولم نیست،،،
به هیچ عنوان پیشنهاد نمی کنم ",1,,2019-01-21 19:38:02.091456,2019-01-21 19:38:02.091456,449289,1,t
407,علی,flightio,پشتیبانی عالی و خیلی سریعی من از پروازم جا موندم خارج از کشور بودم کمتر از ۳۰ دقیقه پرواز برام پیدا کردن واقعا ممنونم,5,,2019-01-21 21:25:49.246937,2019-01-21 21:25:49.246937,449397,2,t
410,"",flytoday,"",,,2019-01-23 11:16:31.497591,2019-01-23 11:16:31.497591,451490,2,t
416,علیرضا,meraj,درود. سپاس از هواپیمایی معراج. پرواز به موقع و منظم. پرسنل حرفه ای. هواپیمایی تمیز. پذیرایی مناسب نسبت به سایر هواپیمایی ها.,4,,2019-01-26 19:08:45.122998,2019-01-26 19:08:45.122998,308237,1,t
417,"",flightio,"",,,2019-01-27 11:23:50.245827,2019-01-27 11:23:50.245827,457040,2,t
418,"",sepehran,"",,,2019-01-28 12:42:20.729972,2019-01-28 12:42:20.729972,460563,1,t
419,آرش,sepehran,تنها ایرلاین شیراز هست باید حمایت بشه اکثر پرواز هاش هم به موقع هست,5,,2019-01-28 12:44:23.062224,2019-01-28 12:44:23.062224,460563,1,t
420,محسن,aseman,خوب نیست,1,,2019-01-28 12:49:51.764558,2019-01-28 12:49:51.764558,460563,1,t
421,amir,taban,"بدترین پروازی که تاحالا تجربه کردم
۷ ساعت تاخیر که داشت هیچ، هیشکی هم نبود یه جواب درست حسابی بده ببینیم بعد از ۷ ساعت تاخیر بالاخره میپره یا نه!
من که تهش پروازم رو کنسل کردم",1,,2019-01-29 08:40:53.075666,2019-01-29 08:40:53.075666,462946,1,t
422,"",ghasedak,"",,,2019-02-02 15:32:34.960123,2019-02-02 15:32:34.960123,446750,2,t
423,محبت,flightio,خیلی خیلی شیری بود سایت به این شخمی من تا حالا ندیده بودم,1,,2019-02-03 15:33:45.08076,2019-02-03 15:33:45.08076,475579,2,t
424,"",aseman,"",,,2019-02-04 23:09:15.734439,2019-02-04 23:09:15.734439,477745,1,t
425,محمد رضا,zagros,"هنوز تجربه نکردم
اگه خدا بخواد پس فردا ميخوام تجربه کنم
اميدوارم رضايت بخش باشه",4,,2019-02-05 07:54:49.569055,2019-02-05 07:54:49.569055,478081,1,t
426,"",alibaba,"",,,2019-02-05 10:19:15.539246,2019-02-05 10:19:15.539246,478259,2,t
427,"",zagros,"",,,2019-02-05 15:20:56.74704,2019-02-05 15:20:56.74704,478611,1,t
428,"",varesh,"",5,,2019-02-08 07:21:09.939513,2019-02-08 07:21:09.939513,481853,1,t
429,"",iran-air-tour,"",,,2019-02-08 10:26:57.348841,2019-02-08 10:26:57.348841,424644,1,t
430,مهرزاد,flytoday,"",3,,2019-02-08 13:05:12.602126,2019-02-08 13:05:12.602126,481412,2,t
431,ستاره,aseman,"",,,2019-02-09 13:30:59.433344,2019-02-09 13:30:59.433344,483345,1,t
432,ستاره,aseman,"",,,2019-02-09 13:31:00.419934,2019-02-09 13:31:00.419934,483345,1,t
433,فاطمه عباسی,varesh,دوشنبه میخوام امتحانش کنم .ان شاءالله که خوب باشه,,,2019-02-09 16:03:48.476444,2019-02-09 16:03:48.476444,483433,1,t
434,فاطمه عباسی,varesh,دوشنبه میخوام تجربش کنم .ان شاءالله که خوب باشه,,,2019-02-09 16:04:08.410295,2019-02-09 16:04:08.410295,483433,1,t
435,فاطمه عباسی,varesh,دوشنبه میخوام تجربش کنم .ان شاءالله که خوب باشه,,,2019-02-09 16:04:14.044772,2019-02-09 16:04:14.044772,483433,1,t
436,فاطمه عباسی,varesh,دوشنبه میخوام تجربش کنم .ان شاءالله که خوب باشه,,,2019-02-09 16:04:36.92335,2019-02-09 16:04:36.92335,483433,1,t
437,میناحسنی کوچگی,aseman,باسلام من اولین بارسفرهوایی باآسمان به دبی رفتم خداوکیلی فوقلعاده بودتجربه که به دست آوردم این بودکه براسفرهای بعدی بهترآماده باشم باتشکراززحمات شما,,,2019-02-09 20:42:24.548665,2019-02-09 20:42:24.548665,483821,1,t
438,سیمین,taban,هرگز هرگز  هرگز با تابان لعنتی  سفر نکنید  از من  به شما نصیحت      افتضاح ترین   پروازی   هست  که  تو عمرم   دیدم    از همه   لحاظ,1,,2019-02-09 21:47:46.634222,2019-02-09 21:47:46.634222,19060,1,t
439,"",iran-air-tour,"",,,2019-02-11 15:48:15.067818,2019-02-11 15:48:15.067818,485793,1,t
440,"",iran-air-tour,"",5,,2019-02-11 15:49:17.007091,2019-02-11 15:49:17.007091,485793,1,t
441,"",safarestan,"",,,2019-02-13 11:04:25.595754,2019-02-13 11:04:25.595754,487739,2,t
442,"",ghasedak,"",,,2019-02-13 13:08:11.350565,2019-02-13 13:08:11.350565,346931,2,t
443,الی,zagros,هنوز تجربه نکردم انشاالله دو روز دیگه به مقصد کیش تجربش می کنم امیدوارم سلامت به مقصد برسم چون نظرات منفی به مراتب بیشتر از نظرات مثبت بود,,,2019-02-16 06:19:22.592484,2019-02-16 06:19:22.592484,491397,1,t
444,الی,caspian,کاسپین نکته مثبتش بدون تاخیر بودنشه ولی من از مشهد به تهران که میومدم خیلی توی هواپیمای کثیف بود بعد میز هواپیما کنده شد افتاد اوردن یه سینی دادن غذامو گذاشتن توش از همه بدتر موقع کنده شدن نقل و خوراکی های مسافر پرواز قبلی ریخت رو من و پسرم اصلا نظافتش افتضاح بود,,,2019-02-16 06:22:03.202894,2019-02-16 06:22:03.202894,491397,1,t
445,"",ghasedak,"",,,2019-02-17 07:45:37.80033,2019-02-17 07:45:37.80033,486864,2,t
446,سهیل,zagros,کارکنان حرفه ایی و با ادب وبا  نزاکت بودن و مهمانداران خوبی داشت-در کل راضی بودم,5,,2019-02-17 13:56:59.064499,2019-02-17 13:56:59.064499,484303,1,t
447,"",meraj,"",,,2019-02-18 09:20:34.745538,2019-02-18 09:20:34.745538,493685,1,t
448,علی محمد,zagros,با اسمان تجربه پرواز داشتم و خیلی تاخیر داشت ولی با زاگرس هروقت رفتم اهواز عالی بوده یا تاخیرش کمه,4,,2019-02-18 12:16:58.992237,2019-02-18 12:16:58.992237,484303,1,t
449,کامبیز,qeshm-air,"مهمانداراش خیلی خووووووووبن.
همشون رو دوست دارم.",5,,2019-02-18 20:15:59.295745,2019-02-18 20:15:59.295745,494429,1,t
452,"",sepehran,من هفته ی آینده با این هواپیما پرواز دارم لطفا نظر بدید,,,2019-02-19 13:34:52.721024,2019-02-19 13:34:52.721024,495199,1,t
453,متینه,iran-air,پروازهاش خیلی گرونه و تأخیر بیش از حد داره.پرواز اصفهان به رشت واقعا گرونه.و تأخیر ساعتشم بالاست.من پرواز رشت به اصفهان داشتم ساعت8:55باتأخیر ساعت12:10حرکت کرد.,5,,2019-02-19 15:49:12.253853,2019-02-19 15:49:12.253853,495313,1,t
454,ریتا شعبانی ,iran-air,کاش در کشور به اندازه کافی نظارت بود که این هواپیمایی به خودش اجازه نمی داد با روح و روان مردم بازی کند ۲۹ اسفند بلیط اهواز به رشت گرفتم بعد از یک هفته پیام اومد بدون ارائه دلیل پرواز لغو گردید!!! یکی نیست به اینا بگه مردم برنامه ریزی می کنن. ,1,,2019-02-19 17:52:28.260689,2019-02-19 17:52:28.260689,495402,1,t
455,امیرسام ,iran-air,من پرواز تهران ساری را سال پیش در اسفند با هواپیمای ای تی ار ایران ایر سوار شدم بسیار آن تایم بدون ثانیه ای تاخیر در کل ایران ایر پرواز خوبی است باتشکر از کارکنان شرکت هواپیمایی جمهوری اسلامی ایران (  ایران ایر),5,,2019-02-20 14:32:15.470574,2019-02-20 14:32:15.470574,496438,1,t
456,"",safarestan,"",,,2019-02-21 07:12:22.366284,2019-02-21 07:12:22.366284,497057,2,t
457,"",safarestan,"",,,2019-02-22 16:24:08.894575,2019-02-22 16:24:08.894575,498406,2,t
458,"",safarestan,"",,,2019-02-23 18:55:26.85375,2019-02-23 18:55:26.85375,497324,2,t
459,بیتا,zagros,اولین تجربه پرواز  از زاگرس بود.که خوب به نظر امد .خداروشکر تاخیر نداشت اصلا,4,,2019-02-24 11:14:33.406892,2019-02-24 11:14:33.406892,484303,1,t
460,زهرا,flytoday,قیمتها از سایرین پایین تر و پشتیبانی عالی بود,5,,2019-02-24 15:04:02.655746,2019-02-24 15:04:02.655746,500679,2,t
461,حمزه اسحاقی,flytoday,نمیدونم چطوریهنزوب برلتزغویخریچز,2,,2019-02-25 00:36:27.958043,2019-02-25 00:36:27.958043,501077,2,t
462,حمزه اسحاقی,flytoday,نمیدونم چطوریهنزوب برلتزغویخریچز,2,,2019-02-25 00:37:11.634481,2019-02-25 00:37:11.634481,501077,2,t
463,محمد ناصری,iran-air-tour,"",1,,2019-02-28 18:37:28.832728,2019-02-28 18:37:28.832728,504950,1,t
464,محمد ناصری,iran-air-tour,بسیار با ترس و وحشت ,1,,2019-02-28 18:38:07.092509,2019-02-28 18:38:07.092509,504950,1,t
465,سجاد,safarme,"سایتش مشکل داره
پرواز ۱۳ اسفند به کیشو
اینجا میزنه ۱۸۵
وارد سایتش میشیم ۱۹۲ نشون میده",1,,2019-03-01 05:50:26.010884,2019-03-01 05:50:26.010884,469355,2,t
466,سجاد,safarme,"سایتش مشکل داره
پرواز ۱۳ اسفند به کیشو
اینجا میزنه ۱۸۵
وارد سایتش میشیم ۱۹۲ نشون میده",1,,2019-03-01 05:51:19.370832,2019-03-01 05:51:19.370832,469355,2,t
467,عباس محمدزاده,TACV Cabo Verde Airlines,"",3,,2019-03-01 11:39:02.203099,2019-03-01 11:39:02.203099,505852,1,t
468,"",mahan,"",,,2019-03-02 09:12:52.978563,2019-03-02 09:12:52.978563,498454,1,t
469,علی,iran-air,"بهترین شرکتی هواپیمای بود که من سوار شدم تازه شرکت ایران ایر می خواهد هواپیماهای ایرباس جدید به نام ۳۳۰ و ۳۴۰ و ۳۶۰ و ایرباس ۳۸۰ که هواپیمایی دو طبقه ۸ ساله که می تواند جای گزین بویینگ ۷۴۷ ۴۰ ساله و ۲۵ ساله شود البته در۱۰سال هوا پیماهای بویینگ جدید تر و ایر باس جدید تر و همچنین هواپیمای جدید ژاپنی و آلمانی و ایتالیایی هم به شرکت ایران ایر اضافه خواهد شد انشاعلله همچنین شرکت ایران ایر خط تولید هواپیمای قدیمی را از رده پرواز ۵۰ درصد خارج کرده است و با شرکت ماهان ایر مساوی است ولی از شرکت های دیگر مثل آسمان و اتا و ... بهتر است 



",5,,2019-03-03 15:44:13.865388,2019-03-03 15:44:13.865388,508041,1,t
470,الهه,zagros,والا یه دلشوره بدی گرفتم با اینهمه نظرات منفی، اولین سفرم با هواپیما برای ۲۷اسفند امیدوارم ک هر چی خواست و صلاح خداست همون بشه ,1,,2019-03-04 01:22:41.932747,2019-03-04 01:22:41.932747,508355,1,t
471,حسن اسماعیل زاده ,zagros,"با سلام خدمت مسافرین پروازهای زاگرس
من دیشب در پرواز شماره ۴۰۵۷ تهران به مشهدبودم
پرواز بالای ۳ ساعت تاخیر داشت و زمانی اعلام شد که به فرودگاه رسیده بودیم
برخورد دفتر زاگرس به نحوی بود که به جای اونا من وچند نفر دیگه عذر خواهی کردیم از شرکت
یه عده ادم بی ادب وپر رو
خدمه پرواز عصبانی
با این تاخیر به جای شام فقط یه ابمیوه وکلوچه پذیرایی کردن
که ای کاش به مسافرین احترام میذاشت وهمینو نمیداد
تا سود بیشتر داشته باشه رییس محترم 
ودر آخر عاجزانه خواهشمندم از این شرکت برای سفر استفاده نکنید",,,2019-03-05 08:33:05.222865,2019-03-05 08:33:05.222865,509456,1,t
472,حسن اسماعیل زاده ,zagros,"",,,2019-03-05 08:39:55.517821,2019-03-05 08:39:55.517821,509456,1,t
473,حسن اسماعیل زاده ,zagros,"در ضمن جهت اطلاع با هر کسی که از این ایرلاین برای چندمین بار مثل خودم استفاده کرده بود همه میگفتن کل پرواز های این شرکت همیشه با تاخیر بوده است
متاسفانه در صورت اجبار از این شرکت استفاده کردم که اگر جایگزینی باشد حتما وحتما سفر نخواهم کرد",,,2019-03-05 08:46:52.007318,2019-03-05 08:46:52.007318,509456,1,t
474,حاج خسرو محمودی خوبان,alibaba,با سلام تاجتیب که میدونم مردم‌راضب هستمن ,4,,2019-03-05 19:27:09.921895,2019-03-05 19:27:09.921895,509908,2,t
475,حاج خسرو محمودی خوبان,qeshm-air,با سلام وادب .روز یکشنبه مسافر قشم ایر  از سنندج بتهران بودم بدون یکدقیقه تاخیر وبموقع  با رفتار خیلی عالی مهماندارانومخصوصا خانمی بنام حاج امینی بی نهایت آرام وپاک با اخلاق وعلایق اسلامی یک خانواده عراقی که خانمی مریض همراهشانبود .نهایت ادب وراهنمایی کمک فراوان به گونه ای از بنده خواستن مراتب تشکر وامتنان این خاواده راجع زحمات خانم مهماندار حاج امینی بعرض شما برسانم ضمنا حقیر خود جانباز ۶۰ درصد جنگتحمیلی هستم ازمدیر و کلیه عوامل پرواز تشکر میکنم وتقاضای تشویق وتقدیر نامبردگان دارم .با آرزوی موفقیت وترقی آین ایرلاین وسلامت وتندرست باشید .هرگونه اقدام را لطفا به بنده  ۰۹۱۸۱۷۱۰۸۵۸ خبر بدهید ممنونم ,5,,2019-03-05 19:55:22.387653,2019-03-05 19:55:22.387653,509908,1,t
476,سوشان,Pegasus Airlines,"بسیار مزخرف بود 
چون علاوه بر هواپیمای کوچک باصندلی های ناراحتش که افراد قدبلند میباست تمام طول سفر با پاهای جمع شدده به سفر خودشون ادامه بدن شاهد صحنه ای بودیم که بسیار ناراحت کننده بود بعداز بلند شدن هواپیمازمانی که دردیگر پروازها به رایگان از مسافرین پذیرایی میشه  یکی از مسافرین درخواست اب برای کودکش کرد وچون متوجه شد که باید بابت یک شیشه ی کوچک دویست تومنی مبلغ معادل هشت هزارتومن پرداخت کند وظاهرا هنوز چنج نکرده بود خواهش کرد که به جای ان فقط یک لیوان اب به بچه بدهند ولی کسی اهمیتی نداد وبا وجود گریه های ان کودک واعتراض های بقیه مسافرین که اولین بار بود با این پرواز سفر میکردند به کار خودشان ادامه دادند
اینجابود که مقایسه کردم این پرواز روبا پروازهای حتی کوتاه وارزان ایرانی که از بدو ورود با شکلات پذیرایی میشی وهدیه ها واسباب بازی های رایگان به بچه ها که کلی خاطره ی سفر رو تا زمان بزرگ شدنشون تو ذهنشون حک میکنه",,,2019-03-06 04:38:06.988836,2019-03-06 04:38:06.988836,509606,1,t
477,"",hipotrip,"",,,2019-03-06 04:40:08.67951,2019-03-06 04:40:08.67951,492818,2,t
478,"",hipotrip,"",,,2019-03-06 04:49:24.28144,2019-03-06 04:49:24.28144,492818,2,t
479,یسنا,zagros,من قبلا با زاگرس پرواز داشتم.به نظرم خیلی معمولیه انشاالله ۲۵ اسفند هم از اصفهان به مشهد پرواز داریم.ولی به نظر من ماهان.معراج وایران ایر بهترین هواپیماها رو داره,2,,2019-03-06 14:00:27.968557,2019-03-06 14:00:27.968557,510427,1,t
480,عبدالله,zagros,"پیشنهاد من به دوستانی که مجبورن با هواپیمایی زاگرس برن اینه که صددرصد بهتره با اتوبوس برن اما با زاگرس نرن.دهن آدم آسفالته،تاخیرهای طولانی آبشن همیشگی این شرکته
واقعا از همه لحاظ افتضاحه",1,,2019-03-06 16:30:02.206971,2019-03-06 16:30:02.206971,510664,1,t
481,"",mahan,"",,,2019-03-07 12:03:51.449016,2019-03-07 12:03:51.449016,298240,1,t
482,محمد,iran-air,"والاه این خط هوایی خیلی عالیه هم از نظر کیفیت هم از نظر پزیرایی و برخورد مهمان داران و تجربه خلبلنان خط ایران ایر هم ناوگان های قدیمی و متوسط و ناوگان های جدید به قول نظر دان قبلی یعنی اقای علی که می گفت ایرباس ها و بویینگ ها و هواپیما ها دیگری می اید ولاه راست می گوید باورتان نمیشه نظرش را بالای نظر من نوشته اخرش هم تعریف کرده که از شرکت های گووه آتا و زاکروس که مهمانداران سخت گیر و بی حوصله دارند پزیرایی اشغال و خلاصه خلبانان بی تجربه و هواپیمایی نا مناسب دارند چون صندلیهاش خیلی کوچک است و اصلا جا نمیشود و حطا فاطله صندلی هایشان رایت نشده ولی ناوگان های ایران ایر چه قدیمی چه متوسط و چه ناوگان های جدید باشد طرح و فاصله صندلی ها به خوبی رایت شده چون شرکت ایران ایر شرکت ملی هواپیمای است انتخاب من فقط ایران ایر ‌و ماهان ایر است وهسلام
",5,,2019-03-07 15:50:04.884811,2019-03-07 15:50:04.884811,508041,1,t
483,عبدالباسط امان زاده,safarestan,"",,,2019-03-08 06:21:39.41641,2019-03-08 06:21:39.41641,511661,2,t
484,mohammad,mahan,"",5,,2019-03-10 18:28:45.394313,2019-03-10 18:28:45.394313,515714,1,t
485,سارا,zagros,رفتار مهمانداران افتضاح بی ادبانه,1,,2019-03-12 18:47:02.069028,2019-03-12 18:47:02.069028,518102,1,t
486,حامد مکی ,flightio,"",5,,2019-03-12 21:56:48.194932,2019-03-12 21:56:48.194932,518243,2,t
487,حامد مکی ,flightio,عالی,5,,2019-03-12 21:56:55.415865,2019-03-12 21:56:55.415865,518243,2,t
488,احمد,saha,خوب بود ,,,2019-03-13 03:28:08.576517,2019-03-13 03:28:08.576517,518294,1,t
489,"",ghasedak,"",,,2019-03-13 11:27:07.692855,2019-03-13 11:27:07.692855,518621,2,t
490,"",safarestan,"",,,2019-03-13 12:12:34.121998,2019-03-13 12:12:34.121998,518621,2,t
491,علی محمد رضا خانی ,flightio,خیلی خوب بود,3,,2019-03-14 20:39:44.308944,2019-03-14 20:39:44.308944,512293,2,t
492,نازنین احمدی,sepehran,عالی و فوق العاده بود,5,,2019-03-15 07:09:12.618458,2019-03-15 07:09:12.618458,519847,1,t
494,"",ghasedak,"",,,2019-03-17 19:28:36.803905,2019-03-17 19:28:36.803905,521680,2,t
495,فیروزه,zagros,وقتی ما رسیدیم فرودگاه با اینکه حدود نیم ساعت قبل از پرواز رسیدیم ولی بلیط ما رو به یکی دیگه فروخته بودن پروازمون ساعت پنج و بیست دقیقه صبح بود. از ما هم پنجاه درصد کسر کردن و مابقی رو مرجوع کردن. ولی وقتی خودشون تاخیر دارن که حرفی نیست کل برنامه سفرمون به هم خورد. من که هر جا بشینم میگم که پرواز زاگرس مثل اتوبوس هست البته اتوبوس های قدیمی,,,2019-03-19 23:16:37.01359,2019-03-19 23:16:37.01359,524010,1,t
499,حامد عباسزاده ,ata,"",,,2019-03-22 09:14:51.702785,2019-03-22 09:14:51.702785,526386,1,t
500,"",mahan,"",1,,2019-03-22 09:16:17.342348,2019-03-22 09:16:17.342348,526386,1,t
501,"",ata,"",5,,2019-03-22 09:17:07.993805,2019-03-22 09:17:07.993805,526386,1,t
502,حامد,ata,"",5,,2019-03-22 09:17:54.390119,2019-03-22 09:17:54.390119,526386,1,t
503,امیرعلی,zagros,"به خاطر کارم به کرات مسیر تهران مشهد رو رفتم هیچ وقت ایرلاین خاصی مد نظرم نیست ولی چیزهایی که عزیزان گفتن بیشتر از اینکه مربوط به ایرلاین زاگرس باشه مربوط به برنامه فرودگاههاست
به نظرم بجز ماهان و تابان و تا حدی کیش ایر بقیه ایرلاین ها مثل همن اگر هم منصفانه بخوایم بگیم زاگرس از خیلی خطوط هوایی دیگه مثا آتا ایران ایرتور بهتره",3,,2019-03-24 10:37:42.642783,2019-03-24 10:37:42.642783,528004,1,t
504,امیرعلی,meraj,به نطرم معراج و ماهان بهترین خطوط هوایی ایران هستن,5,,2019-03-24 10:41:04.437292,2019-03-24 10:41:04.437292,528004,1,t
505,امیرعلی,mahan,در ایرلاینهای ایرانی در مقام برتر البته در کنار معراج,5,,2019-03-24 10:43:23.070018,2019-03-24 10:43:23.070018,528004,1,t
506,امیرعلی,zagros,"اشتباها در نظر قبلی به جای معراج تابان نوشتم 
ماهان و معراج بهترین هستن از نظر من زاگرس از تابان بهتره",,,2019-03-24 10:48:51.727982,2019-03-24 10:48:51.727982,528004,1,t
507,"",safarestan,"",,,2019-03-24 13:16:56.006218,2019-03-24 13:16:56.006218,528208,2,t
508,لیلا,mahan,عالی،کیش,4,,2019-03-24 22:08:00.509037,2019-03-24 22:08:00.509037,528788,1,t
509,سیداحمدحقگو,mahan,با پروازهای پان امریکن ایرفرانس مطابقت دارد با غذاهای لذیذ حتی گرم میهمانداران مودب و خوش تیپ وخوش برخورد خلبان صمیمی درطول پرواز با صحبت هاش مسیر را توضیح میدهد مجله ویژه با خواندنیهای همراه  با جاذبه های دیدنی کشورهای مطرح توریستی جهان خلاصه از پرواز با ماهان ایر لذت میبرم خدا به تاسیس کننده مسبب ان جزای خیر عنابت فرماید,5,,2019-03-28 10:45:28.236715,2019-03-28 10:45:28.236715,509113,1,t
510,"",iran-air-tour,معمولا تاخیر نداره ولی پذیرایی خیلی کیفیتش پائینه. برای نهار نیز همیشه یک ساندویچ مرغ سردهست که با خوردنش گوارش آدم مشکل پیدا میکنه. ,2,,2019-05-04 04:05:04.637132,2019-05-04 04:05:04.637132,332138,1,t
511,"",iranhrc,"",,,2019-05-20 03:14:00.381401,2019-05-20 03:14:00.381401,592374,2,t
512,"",ghasedak,"",,,2019-05-28 01:02:53.473403,2019-05-28 01:02:53.473403,599927,2,t
513,امید,safarestan,من راضی بودم یکم مبهم هستش ولی نتیجه اش خوب بود,4,,2019-05-28 03:51:43.640735,2019-05-28 03:51:43.640735,599967,2,t
543,خسروی,zagros,سلام من برای فردا ساعت ۱۱ بلیط دارم اولین پروازمه با این حرفایی که خوندم خیلی ترسیدم خدا بخیر کنه خانوادم چشم براهن😢😢😢😢,,,2020-01-06 13:23:31.539425,2020-01-06 13:23:31.539425,956239,1,t
514,مریم طباطبایی ,zagros,دوستان عزیز من خودم از نظرات سایت ها استفاده میکنم و تصمیم گرفتم اینجا نظرمو بنویسم تا شما هم استفاده کنید.لطفا توجه کنید تا مثل ما نشید.ما دیروز با پرواز ۴۰۴۵ زاگرس اومدیم مشهد فااااجعه بود یک ساعت تاخیر داشت بعد هواپیمامونو عوض کردن و جاها جا به جا شد و هیچ کس پیش بچه و شوهرش نبود.وقتی داخل هواپیما نشستیم تازه شروع کردن به چرخ عوض کردن حدود نیم ساعت با کولر خاموش داخل هواپیما بودیم .تیک اف و لندینگ فاااااجعه بود خیلی بد بلند شد و نشست طوری که مادر من که دو ماه پیش جراحی شکمی داشتن به شدت درد دارن و اینجا بیمار افتادن خدا لعنتشون کنه حداقل تاخیر دارید و پدر مسافر رو با اخلاقا و کاراتون در میارید رانندگی هم بلد نیستید؟؟؟؟ بدترررررین پرواز عمرم بود فقط خدا لعنتتون کنه ما که تو ایران دستمون به هیچ جا بند نیست که بخوایم شکایت کنیم,1,,2019-06-17 04:56:36.225598,2019-06-17 04:56:36.225598,689826,1,t
515,"",qeshm-air,"",,,2019-07-17 20:16:45.708153,2019-07-17 20:16:45.708153,724035,1,t
516,"",aseman,عفقداع,1,,2019-07-26 01:25:39.644992,2019-07-26 01:25:39.644992,733415,1,t
517,منصوره,iran-air,"هرموقع مجبور شدم پرواز ایران ایر رو بخرم واقعا خودم رو اول از همه لعنت کردم 
هرموقع میدونم که پروازم ایران ایره میدونم که تاخیر های طولانی خواهم داشت
کیفیت غذا پایینه
و واقعا اذیت کنندست",1,,2019-09-03 09:24:25.561242,2019-09-03 09:24:25.561242,782383,1,t
518,شهلا ,caspian,بی نظم _تاخیر زیاد _عدم پاسخگویی _ کیفیت غذاو پذیرایی بد ,,,2019-09-04 10:51:10.932698,2019-09-04 10:51:10.932698,783403,1,t
520,کریمی,qeshm-air,بسیار بد، فرودگاه استانبول حتی حاضر نشد پرواز قشم ایر رو به خاطر بی نظمی همیشگی روی تابلو اعلام کنه، چندین ساعت استرس,1,,2019-10-07 08:33:50.908197,2019-10-07 08:33:50.908197,821951,1,t
521,سید مسعود ,aseman,"چقدر این مسافران برای تاخیر داشتن پرواز ها غر غر می کنند.کمی باید انصاف داشته باشیم.علت تاخیر هم نبودن هواپیما ، یا بدی آب و هوا  و یا شاید خلبان حال مساعدی نداشته  و حتی شاید مجوز پرواز صادر نشده باشه و نباید زود قضاوت کرد.کمی صبر و تحمل داشته باشید.در کل از همه کارکنان فرودگاه و هواپیمایی ، مخصوصا کارکنان هواپیمایی آسمان و نیروهای نظامی اعم از سپاه و نیروی انتظامی تشکر میکنم بخاطر حفظ امنیت پرواز که خانواده ها سالم به مقصد برسند.
درود بر شما",3,,2019-12-02 11:08:15.958305,2019-12-02 11:08:15.958305,899018,1,t
522,خدا لعنت کنه مدیریت تابان رو,taban,"",,,2019-12-21 04:26:23.739316,2019-12-21 04:26:23.739316,929222,1,t
523,"",taban,"",,,2019-12-21 04:27:52.516579,2019-12-21 04:27:52.516579,929222,1,t
524,"",taban,"",1,,2019-12-21 04:30:09.770257,2019-12-21 04:30:09.770257,929222,1,t
525,"",taban,"",,,2019-12-21 04:47:12.137401,2019-12-21 04:47:12.137401,929222,1,t
526,"",flightio,"",,,2019-12-27 04:26:39.977391,2019-12-27 04:26:39.977391,937021,2,t
