id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
114,رضا آقایاری,zagros,"سلام
به نظر من زاگرس بدترین ایریلاین موجود در دنیا از لحاظ برخورد با مسافر و ارائه خدمات می باشد
متاسفم که مجبوریم در فرودکاههای ایران عریز شاهد این به اصطلاح ایریلاین های بی اخلاق باشیم که همچون قارچ سمی هم در حال رشد هستند
حیف به نام ایریلاین برای شرکت سطح پایینی مثل زاگرس که حتی دفتر مرکزی این شرکت اصلا پاسخگوی مسافرین هم نیست
واقعا متاسفم",1,,2018-04-25 20:30:56.232872,2018-04-25 20:30:56.232872,13340,1,t
115,"",hipotrip,"",,,2018-04-26 13:20:23.246975,2018-04-26 13:20:23.246975,13721,2,t
116,"",hipotrip,"",,,2018-04-26 13:23:07.098778,2018-04-26 13:23:07.098778,13721,2,t
117,"",iranhrc,"",,,2018-04-27 07:52:54.921036,2018-04-27 07:52:54.921036,14155,2,t
118,"",iranhrc,"",,,2018-04-27 21:34:50.394902,2018-04-27 21:34:50.394902,14679,2,t
119,فرزاد,ghasedak,"",3,,2018-04-28 17:09:20.508674,2018-04-28 17:09:20.508674,15346,2,t
120,علی احمدزاده,iranhrc,"بلیط موجود بود
مراحل در زمان مشخص انجام شد
در انتها بلیط را ندادن و بعد از چند دقیقه با افزایش قیمت مجدد بلیط را برای فروش گذاشتن

که به نظرم اصلا حرکت جالبی نیست
این زرنگ بودن نیست و کلاه برداری است
 Iranbooter @     gmail.com
09365806400
ایمیل و تماس هم می گذارم که نگن دروغ است ",1,,2018-04-28 22:02:31.230244,2018-04-28 22:02:31.230244,15516,2,t
124,"",flightio,"",,,2018-05-11 18:48:45.863878,2018-05-11 18:48:45.863878,24061,2,t
125,"",safarestan,"",,,2018-05-11 18:48:57.064031,2018-05-11 18:48:57.064031,24061,2,t
126,"",ghasedak,"",,,2018-05-15 20:09:19.609239,2018-05-15 20:09:19.609239,26447,2,t
127,سیما گلستان,hipotrip,واقعا عالی بود. من خواهرزادم به مشکل خورده بود توی ایتالیا برای بلیط برگشتش. اصلا فکر نمی کردم بتونم با پشتیبانی یک سایت ایرانی مشکلمو حل کنم. تا  ساعت 3 صبح به وقت تهران کمکمون کردند و راهنمایی می‌کردن .,5,,2018-05-16 12:25:38.334353,2018-05-16 12:25:38.334353,26731,2,t
128,مهدی آذرشب,ghasedak,"",4,,2018-05-17 09:03:57.334343,2018-05-17 09:03:57.334343,27013,2,t
130,وحید یارویسی ,safarme,پشتیبانی خوب و پاسخگویی داره پیشنهاد میکنم ,5,,2018-05-19 00:16:05.386765,2018-05-19 00:16:05.386765,27903,2,t
134,سعید,flightio,عالی بود واقعا مخصوصا پشتیبانی بلیطشون,5,,2018-05-23 02:59:01.598131,2018-05-23 02:59:01.598131,29854,2,t
136,"",ghasedak,"",1,,2018-05-26 09:48:48.924958,2018-05-26 09:48:48.924958,32058,2,t
137,سارا,zagros,این ایرلاین، بسیار بی کیفیت است، رفتار مهمانداران که وقیحانه و توهین آمیز و خلبانان غیر اخلاقی که در ملاعام به مسافرین چشمک می زنند و پیشنهاد میدند.,1,,2018-05-27 18:17:36.437578,2018-05-27 18:17:36.437578,35105,1,t
138,علی اکبر اسمعیل زاده,mahan,"",1,,2018-05-28 05:25:30.539523,2018-05-28 05:25:30.539523,37113,1,t
141,کشتکار,safarme,همیشه ارزون ترین بلیطو به مسافر میده و من تا حالا مشکلی نداشتم ,5,,2018-05-30 15:21:27.318056,2018-05-30 15:21:27.318056,44491,2,t
143,علی راد مردی,safarme,پشتیبانی حرفه ای در زمینه خرید و استرداد انی وجه,5,,2018-06-05 08:01:54.175798,2018-06-05 08:01:54.175798,60327,2,t
144,سارا بردبار,safarme,واقعا حرف نداره پایین ترین قیمت بازار هست,5,,2018-06-07 12:19:30.845303,2018-06-07 12:19:30.845303,65909,2,t
160,سارا بیات,safarme,افتضاح بود!!!!!! 100 بار زنگ زدم پشتیبانی جواب نداد. الکی فقط قیمتو آورده پایین ولی هیچ خدماتی نمیده. مردم از استرس توی فرودگاه,1,,2018-06-23 07:50:50.918446,2018-06-23 07:50:50.918446,121643,2,t
147,فرنوش,flytoday,"",5,,2018-06-13 21:50:19.353004,2018-06-13 21:50:19.353004,94602,2,t
148,نجفی,zagros,پرواز تهران گرگان بدترین پرواز بود داشتن همه رو به کشتن میدادن هواپیما بعد چندبار تیک کاف کردن نمیتونست از باند بلند بشه جالب باهمه مسافرا هواپیما روبردن تعمیر نمیزاشتن کسی هم پیاده بشه حتی خوده خدمه هم داشتن از ترس میمردن.اون روز خدارحم همه مسافرا کرد ک سالم رسیدن گرگان,1,,2018-06-14 21:50:33.90854,2018-06-14 21:50:33.90854,96977,1,t
149,محمدی,naft,خدمه خوب و خوش برخورد با پروازا خوب  و هواپیماها خوب ,3,,2018-06-14 21:53:20.218465,2018-06-14 21:53:20.218465,96977,1,t
150,محمدی,safarme,آژانس خوب وعالی هستش.همیشه خرید میکنم حتی باوجود پیش اومدن چندین بار مشکل اپراتورشون عالیه عمل میکردن.فقط یه مدت کارشون مثل اول نییت,3,,2018-06-14 21:55:43.884394,2018-06-14 21:55:43.884394,96977,2,t
151,سارا,zagros,سلام.به جرات میتونم بگم مزخرف ترین هواپیما و مهماندارهارو داره_پرواز مشهد به تهران اول اینکه مثل همیشه با تاخیر_هواپیما بسیار فرسوده_مشکل فنی داشت برای ما یکبار نشست نتونست بلافاصله بلند شد و فقط میتونیم بگیم خدا روشکر که سالمیم.یه جورایی با خرید بلیط این هواپیمای مزخرف انگار برگه ی مرگتو خریدی!به همین شدت.خواهش میکنم مراقب جونتون باشید...,,,2018-06-17 14:12:08.297974,2018-06-17 14:12:08.297974,107307,1,t
153,"",ghasedak,اااغاد,,,2018-06-17 20:23:01.220734,2018-06-17 20:43:20.203655,106398,2,f
154,"",mahan,"",3,,2018-06-19 00:22:09.932223,2018-06-19 00:22:09.932223,110798,1,t
155,Hasan,zoraq,"",5,,2018-06-19 13:09:04.189286,2018-06-19 13:09:04.189286,112563,2,t
156,"",safarme,"",,,2018-06-20 21:45:09.207539,2018-06-20 21:45:09.207539,117498,2,t
157,شهلا,safarme,عالی با قیمت های خیلی خوب وپشتیبانی عالی ,5,,2018-06-21 06:01:33.35952,2018-06-21 06:01:33.35952,3081,2,t
158,انا همتیان بروجنی,safarme,از خریدم راضیم تهران به کیش با 100 تومن رفتم هیچ سایتی انقدر ارزون نبود,5,,2018-06-21 06:02:37.272046,2018-06-21 06:02:37.272046,65909,2,t
159,مریم حسینی,sepehran,متاسفانه بسیار برخوردشون نامناسبه بدون هیچگونه دلیل موجهی  به من اجازه ندادن که چمدون مخصوص کابین روربه داخل هواپیما ببرم درصورتی که از جعبه مخصوصی که برا تست کردن این موضوع تعبیه شده بود رد شد متاسفانه توجیهشون این بودش که شما میخواین از هواپیما که پیاده شدین توصف تحویل بار نایستین وزود به کارتون برسین!!!!!!!!!!!باراخریه که بااین شرکت سفرمیکنم.امتیاز صفر نداشت وگرنه بهشون امتیاز صفررو میدادم,1,,2018-06-22 14:46:44.662812,2018-06-22 14:46:44.662812,93535,1,t
161,"",safarestan,"",,,2018-06-23 20:18:43.238318,2018-06-23 20:18:43.238318,122775,2,t
162,مهدی سلاطی,safarestan,"",5,,2018-06-24 06:10:04.188099,2018-06-24 06:10:04.188099,123627,2,t
163,amir selki,safarme,"",5,,2018-06-29 06:14:57.292798,2018-06-29 06:14:57.292798,132104,2,t
164,کسری فصیحی,safarme,واقعا سایت بدی همش ارور همش قیمتهای دروغ پشتیبانی ضعیف در کل افتضاح هستش...,1,,2018-07-04 11:45:00.091738,2018-07-04 11:45:00.091738,146001,2,t
165,"",flytoday,"",,,2018-07-05 13:47:36.318173,2018-07-05 13:47:36.318173,148162,2,t
166,"",safarme,"",,,2018-07-06 11:08:38.083115,2018-07-06 11:08:38.083115,149411,2,t
167,arash,zagros,هر كسي از حونش سير شده با زاگرس بره مسافرت ،اولا كه هواپيماهاش همه باربري هستند و به مسافربري تغييرش دادند و همه هواپيماهايي كه تو روسيه و بقيه كشورها حتي پاكستان از رده خارج هستند اين شركت رفته احاره كرده ،امكان نداره زمان مسافرت شما از بقيه پروازها طولاني تر نباشه ،به هيچ وجه امنيت نداره,,,2018-07-09 16:26:46.224812,2018-07-09 16:26:46.224812,156217,1,t
168,"",flightio,"",,,2018-07-10 15:15:46.777203,2018-07-10 15:15:46.777203,158379,2,t
